City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hobyo,SO,78.4,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
4,Vaini,TO,77.16,Clouds,-21.2,-175.2,Keleti Beach Resort
11,Kapaa,US,84.18,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Caiaponia,BR,76.89,Clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
15,Riohacha,CO,82.26,Clouds,11.5444,-72.9072,Hotel Taroa
24,Kimbe,PG,82.17,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
29,Birao,CF,77.25,Clouds,10.2849,22.7882,
35,Kota Kinabalu,MY,82.38,Clouds,5.9749,116.0724,Gaya Centre Hotel
46,Mitsamiouli,KM,76.1,Clear,-11.3847,43.2844,Foyer ADM
49,Luwuk,ID,82.44,Clouds,-0.9516,122.7875,Hotel Santika Luwuk
51,Merauke,ID,79.72,Clouds,-8.4667,140.3333,
54,Puerto Ayora,EC,75.54,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Meadow Lake,US,86.77,Clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
61,Brownsville,US,86.11,Clouds,25.9018,-97.4975,University Inn & Suites
62,Bubaque,GW,78.71,Clear,11.2833,-15.8333,"Casa Dora, Bubaque"
66,Kununurra,AU,75.18,Clear,-15.7667,128.7333,Hotel Kununurra
68,Hithadhoo,MV,81.88,Clouds,-0.6,73.0833,Scoop Guest House
70,Kuching,MY,79.02,Rain,1.55,110.3333,The Ranee Boutique Suites
72,Atuona,PF,78.93,Clouds,-9.8,-139.0333,Villa Enata
73,Behbahan,IR,76.32,Clear,30.5959,50.2417,شهرکدامداران ماهشهر
77,Lorengau,PG,82.74,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,San Patricio,US,86.09,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Lagunas,PE,77.04,Clouds,-5.2269,-75.6753,Hospedaje Eco
95,Butaritari,KI,83.91,Rain,3.0707,172.7902,Isles Sunset Lodge
96,Salalah,OM,79.5,Clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
100,Tual,ID,81.91,Clouds,-5.6667,132.75,Grand Vilia Hotel
101,Hilo,US,80.8,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
102,Susanville,US,78.64,Clear,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
104,Key Largo,US,79.02,Clouds,25.0865,-80.4473,Bayside Inn Key Largo
105,Alofi,NU,80.49,Clouds,-19.0595,-169.9187,Taloa Heights
110,Bathsheba,BB,81.21,Clouds,13.2167,-59.5167,Atlantis Hotel
111,Placido De Castro,BR,76.98,Clouds,-10.3353,-67.1856,Hotel Carioca
117,Morehead,US,82.15,Clouds,37.2711,-87.1764,CCI Express Inn
120,Kavieng,PG,80.65,Rain,-2.5744,150.7967,Nusa Island Retreat
124,Kieta,PG,78.17,Rain,-6.2167,155.6333,Uruna Bay Retreat
125,Honiara,SB,76.37,Rain,-9.4333,159.95,Heritage Park Hotel
126,Kahului,US,81.84,Clouds,20.8947,-156.47,Maui Seaside Hotel
127,Sabang,ID,84.13,Clouds,5.8933,95.3214,Hotel Citra
135,Cimitarra,CO,78.78,Rain,6.3142,-73.9497,HOTEL CARARE PLAZA
147,Statesboro,US,89.4,Clear,32.4488,-81.7832,Holiday Inn Statesboro-University Area
151,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Cititel Penang
152,Pringsewu,ID,76.03,Clouds,-5.3582,104.9744,Urban Style by Front One
156,Salinas,US,81.57,Clouds,36.6777,-121.6555,Laurel Inn & Conference Center
162,Mizdah,LY,79.02,Clouds,31.4451,12.9801,محمدالمبروك الاريقط
168,Miramar,US,82.02,Clouds,25.9873,-80.2323,Miramar
169,Kibala,TD,80.55,Clear,9.1104,18.3463,hotel safari
172,Bozhou,CN,77.16,Clouds,33.8772,115.7703,Haitian Hotel
173,Dalbandin,PK,81.84,Clear,28.8947,64.4101,Sanjrani House
176,Padang,ID,77.95,Clouds,-0.9492,100.3543,Mercure Padang
178,Tungi,BD,82.4,Clouds,23.89,90.4058,Grand Dhaka Hotel
