City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Port Alfred,ZA,-33.5906,26.891,59.85,81,92,10.71,Clouds,2021-05-27 23:23:42
1,Hobyo,SO,5.3505,48.5268,78.4,82,57,18.84,Clouds,2021-05-27 23:23:43
2,Cabo San Lucas,MX,22.8909,-109.9124,96.51,53,61,10.83,Clouds,2021-05-27 23:23:27
3,Provideniya,RU,64.3833,-173.3,46.51,57,0,15.66,Clear,2021-05-27 23:23:05
4,Vaini,TO,-21.2,-175.2,77.16,69,20,11.5,Clouds,2021-05-27 23:23:05
5,Albany,US,42.6001,-73.9662,64.58,48,42,7.0,Clouds,2021-05-27 23:23:07
6,Pokosnoye,RU,55.5258,101.0536,45.03,49,78,7.38,Clouds,2021-05-27 23:23:06
7,Jamestown,US,42.097,-79.2353,59.29,53,86,1.99,Clouds,2021-05-27 23:23:22
8,Qaanaaq,GL,77.484,-69.3632,38.19,72,100,7.63,Clouds,2021-05-27 23:23:06
9,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.05,89,15,4.92,Clouds,2021-05-27 23:23:07
10,Hasaki,JP,35.7333,140.8333,73.8,73,100,2.95,Clouds,2021-05-27 23:23:07
11,Kapaa,US,22.0752,-159.319,84.18,70,98,3.0,Clouds,2021-05-27 23:23:07
12,Kaitangata,NZ,-46.2817,169.8464,46.18,91,100,3.31,Clouds,2021-05-27 23:23:08
13,Caiaponia,BR,-16.9567,-51.8103,76.89,47,45,1.9,Clouds,2021-05-27 23:23:13
14,Rikitea,PF,-23.1203,-134.9692,71.51,57,65,4.56,Clouds,2021-05-27 23:23:08
15,Riohacha,CO,11.5444,-72.9072,82.26,73,100,10.6,Clouds,2021-05-27 23:23:08
16,Rio Grande,BR,-32.035,-52.0986,54.95,77,0,6.91,Clear,2021-05-27 23:23:09
17,Velikiy Ustyug,RU,60.7644,46.3106,40.23,96,87,2.39,Clouds,2021-05-27 23:23:09
18,Broken Hill,AU,-31.95,141.4333,47.91,93,90,10.36,Clouds,2021-05-27 23:23:10
19,Bluff,NZ,-46.6,168.3333,49.8,87,100,8.95,Clouds,2021-05-27 23:23:10
20,Lebu,CL,-37.6167,-73.65,53.49,85,3,10.56,Clear,2021-05-27 23:23:10
21,Vilyuysk,RU,63.7553,121.6247,62.15,44,54,6.29,Clouds,2021-05-27 23:23:11
22,Hobart,AU,-42.8794,147.3294,47.26,70,75,5.01,Clouds,2021-05-27 23:23:11
23,Vostok,RU,46.4856,135.8833,53.92,58,100,1.68,Clouds,2021-05-27 23:23:11
