City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guantanamo,CU,2021-05-25 15:15:33,20.1444,-75.2092,87.87,55,20,6.31
1,Waitati,NZ,2021-05-25 15:15:34,-45.75,170.5667,37.8,73,100,2.93
2,Chuy,UY,2021-05-25 14:14:03,-33.6971,-53.4616,62.1,54,0,17.96
3,Qaanaaq,GL,2021-05-25 14:14:01,77.484,-69.3632,31.28,69,0,7.07
4,Lata,PT,2021-05-25 15:15:18,40.1629,-8.3327,83.71,45,48,8.3
5,Salt,JO,2021-05-25 15:15:34,32.0392,35.7272,84.76,27,0,14.85
6,Cape Town,ZA,2021-05-25 14:14:36,-33.9258,18.4232,67.08,63,40,1.99
7,Ushuaia,AR,2021-05-25 14:14:57,-54.8,-68.3,31.62,80,75,19.57
8,Busselton,AU,2021-05-25 14:14:13,-33.65,115.3333,50.04,72,59,5.73
9,Bengkulu,ID,2021-05-25 14:14:55,-3.8004,102.2655,79.72,87,100,5.08
10,Utica,US,2021-05-25 15:15:35,43.1009,-75.2327,73.8,74,99,1.01
11,Vaini,TO,2021-05-25 14:14:56,-21.2,-175.2,64.56,100,90,5.75
12,Cayenne,GF,2021-05-25 14:14:00,4.9333,-52.3333,84.24,83,75,1.99
13,Katsuura,JP,2021-05-25 15:15:36,35.1333,140.3,72.19,63,54,25.81
14,Albany,US,2021-05-25 14:14:33,42.6001,-73.9662,71.8,61,95,1.01
15,Upernavik,GL,2021-05-25 14:14:04,72.7868,-56.1549,35.89,84,67,4.9
16,Tuatapere,NZ,2021-05-25 14:14:02,-46.1333,167.6833,38.88,73,100,4.07
17,Tasiilaq,GL,2021-05-25 14:14:03,65.6145,-37.6368,33.58,96,100,50.76
18,La Ronge,CA,2021-05-25 14:14:34,55.1001,-105.2842,32.25,80,90,13.8
19,Batagay-Alyta,RU,2021-05-25 14:14:50,67.8006,130.4114,41.7,70,98,4.59
20,Hilo,US,2021-05-25 14:14:20,19.7297,-155.09,79.29,94,90,5.75
21,Khatanga,RU,2021-05-25 14:14:28,71.9667,102.5,32.07,97,100,9.17
22,Punta Arenas,CL,2021-05-25 14:14:11,-53.15,-70.9167,35.71,75,40,15.14
23,Baie-Saint-Paul,CA,2021-05-25 15:15:37,47.4411,-70.4986,68.99,58,100,13.0
24,Jamestown,US,2021-05-25 14:14:00,42.097,-79.2353,75.33,74,97,8.01
25,Rikitea,PF,2021-05-25 14:14:53,-23.1203,-134.9692,74.19,83,100,13.51
26,Kaitangata,NZ,2021-05-25 14:14:31,-46.2817,169.8464,32.94,78,100,4.09
27,Sibolga,ID,2021-05-25 15:15:37,1.7427,98.7792,78.4,90,81,3.04
